gene_id	ERS4805133	ERS4805142	ERS4805151	ERS4805136	ERS4805145	ERS4805154
A1cf	0	0	0	0	0	0
A2ml1	0	0	0	0	0	0
A3galt2	0	0	0	0	0	0
A4galt	0	1	0	1	0	0
A4gnt	0	1	0	0	0	0
Aaas	1936	1915	2019	1766	1726	1822
Aacs	2429	2780	2891	2687	2927	3392
Aadac	0	0	0	1	0	0
Aadacl3	0	0	0	0	0	0
Aagab	1479	1703	1565	1741	1655	1906
Aak1	2194	2338	2106	2487	2358	2358
Aamdc	354	352	347	221	215	238
Aamp	3472	3825	3890	6151	5549	6331
Aanat	0	0	0	2	0	2
Aar2	1631	1630	1749	1707	1746	1773
Aars1	21687	21399	22104	26870	23715	24561
Aars2	1861	1996	1991	2202	2085	2315
Aasdh	1207	1163	1155	1451	1325	1395
Aasdhppt	6043	7253	7176	10208	9372	9970
Aass	0	2	2	0	0	3
Aatf	5099	5704	5835	10446	9516	10152
Aatk	18	29	21	7	20	9
Abat	0	0	4	0	0	0
Abca12	5	3	4	18	12	13
Abca1	8246	8035	8209	7695	8040	7377
Abca2	1648	1695	1593	1875	1814	1825
Abca3	0	0	0	1	0	0
Abca5	1093	1066	1016	660	550	590
Abca6	3	3	5	1	4	2
Abca7	534	558	525	692	638	740
Abca9	38	22	36	195	229	249
Abcb10	737	734	830	1105	1027	1152
Abcb11	0	0	0	1	1	0
Abcb1	1520	1729	1843	2089	2056	2304
Abcb1b	936	981	1072	508	509	483
Abcb4	0	3	1	5	0	0
Abcb6	1443	1566	1700	5207	4887	5065
Abcb7	4246	4457	4618	4031	3683	4371
Abcb8	666	649	773	1212	1132	1299
Abcb9	1	6	4	0	3	2
Abcc10	320	327	331	288	322	374
Abcc12	0	0	0	0	0	0
Abcc1	4056	3998	4358	2920	2798	3117
Abcc2	26	38	43	21	23	20
Abcc3	724	699	721	735	721	740
Abcc4	6169	6620	6977	11278	10789	11241
Abcc5	3717	3557	3691	3603	3303	3498
Abcc6	16	13	20	2	7	1
Abcc8	0	0	0	0	0	0
Abcc9	0	0	0	0	0	0
Abcd1	579	575	656	741	624	812
Abcd2	519	505	513	561	454	554
Abcd3	4214	4594	4660	4979	4449	5145
Abcd4	563	596	592	692	695	725
Abce1	13733	15108	15769	17869	16272	17066
Abcf1	5598	6176	5773	7448	7578	8268
Abcf3	2365	2712	2432	2887	2708	2712
Abcg1	14	22	6	23	14	18
Abcg2	0	0	0	0	0	0
Abcg4	56	50	49	39	32	48
Abcg5	1	2	3	1	6	0
Abcg8	0	0	0	0	0	0
Abhd10	706	729	759	1068	995	1065
Abhd11	774	773	816	1018	888	1032
Abhd12	1322	1413	1414	1924	1842	1769
Abhd12b	0	1	0	0	0	0
Abhd13	1159	1329	1360	1426	1431	1661
Abhd14a	814	863	824	395	395	424
Abhd14b	822	796	780	876	827	845
Abhd15	41	43	39	33	39	28
Abhd16a	2006	2083	1967	2291	2164	2139
Abhd16b	0	0	0	0	0	0
Abhd17a	1750	1864	1967	1833	1812	1920
Abhd17b	1008	1305	1288	1419	1445	1542
Abhd17c	1422	1498	1570	1875	1918	1864
Abhd18	194	187	183	151	162	183
Abhd1	56	73	66	38	46	47
Abhd2	5161	5185	5292	6003	6328	6362
Abhd3	0	0	0	0	0	1
Abhd4	1801	1783	1853	1156	1135	1151
