hamster,mouse
Tuba1c,Tuba1c
Tuba1a,Tuba1a
Mgat1,Mgat1
Kif23,Kif23
Manea,Manea
Aimp2,Aimp2
Furin,Furin
Abcb4,Abcb4
Abcb1,Abcb1a
Abcb1b,Abcb1b
Ahr,Ahr
Slc35c2,Slc35c2
Adam17,Adam17
Pex5,Pex5
Polr2a,Polr2a
Srebf2,Srebf2
Srebf1,Srebf1
Cbr3,Cbr3
Fpgs,Fpgs
Slc20a2,Slc20a2
Slc20a1,Slc20a1
Dhfr,Dhfr
Lpin1,Lpin1
Slc35b4,Slc35b4
Slc35a2,Slc35a2
Bax,Bax
Fut9,Fut9
Gja4,Gja4
Cert1,Cert1
Cdk2,Cdk2
Hspg2,Hspg2
Orc5,Orc5
Orc4,Orc4
Ercc4,Ercc4
Top1,Top1
Pex2,Pex2
Scap,Scap
Mpdu1,Mpdu1
Eef2,Eef2
Myl6,Myl6
Dpagt1,Dpagt1
Ncl,Ncl
Sdc1,Sdc1
Cxcl1,Cxcl1
Adsl,Adsl
Casp3,Casp3
Ccnd1,Ccnd1
Ldha,Ldha
Gna11,Gna11
Gnaq,Gnaq
Gnas,Gnas
Gnai2,Gnai2
Gnai1,Gnai1
Gna13,Gna13
Gnai3,Gnai3
Mgat3,Mgat3
Gja1,Gja1
Rad51c,Rad51c
Insig2,Insig2
Insig1,Insig1
Nherf1,Nherf1
Xpr1,Xpr1
Mbtps2,Mbtps2
Srsf1,Srsf1
Tubb4b,Tubb4b
Neu3,Neu3
Tubb,Tubb5
Bst2,Bst2
Pisd,Pisd
Slc31a1,Slc31a1
Dnase1l1,Dnase1l1
Calr,Calr
Creld2,Creld2
Mogs,Mogs
Vim,Vim
Cxcl3,Cxcl3
Ctps1,Ctps1
Fth1,Fth1
Ssb,Ssb
Mapk14,Mapk14
Sumo2,Sumo2
Akr1a1,Akr1a1
Hs6st1,Hs6st1
Slc7a1,Slc7a1
Coro7,Coro7
S1pr3,S1pr3
S1pr2,S1pr2
S1pr5,S1pr5
Tlr6,Tlr6
Il6,Il6
St3gal3,St3gal3
Slc38a2,Slc38a2
P2ry2,P2ry2
Gnat1,Gnat1
Lpl,Lpl
Fdft1,Fdft1
Pde1b,Pde1b
Sars1,Sars1
Xpa,Xpa
Brca2,Brca2
S1pr1,S1pr1
Acox1,Acox1
Gls,Gls
Psmc3,Psmc3
Cdh2,Cdh2
Srrt,Srrt
Trpc1,Trpc1
Fasn,Fasn
Abcc1,Abcc1
Trpc3,Trpc3
Gnpda1,Gnpda1
St8sia4,St8sia4
Trpc2,Trpc2
Klc1,Klc1
Abcc2,Abcc2
App,App
Eif6,Eif6
Dnajc10,Dnajc10
Cad,Cad
Birc6,Birc6
Aimp1,Aimp1
Dicer1,Dicer1
Glg1,Glg1
Atp7a,Atp7a
Cdc6,Cdc6
Pparg,Pparg
Bsg,Bsg
Aicda,Aicda
Pik3ca,Pik3ca
Pik3cb,Pik3cb
Rarres2,Rarres2
Washc2,Washc2
Ercc2,Ercc2
Fancg,Fancg
Cenpb,Cenpb
Cyp7a1,Cyp7a1
Eef1a1,Eef1a1
Ap3m1,Ap3m1
Rho,Rho
Dao,Dao
Apex1,Apex1
Nat2,Nat2
Tk1,Tk1
Gjb6,Gjb6
Cbx5,Cbx5
Rps14,Rps14
Dpm2,Dpm2
Neu2,Neu2
Pex19,Pex19
Pcyt1a,Pcyt1a
Top2a,Top2a
Hspa5,Hspa5
Xrcc5,Xrcc5
Tmed2,Tmed2
Hyou1,Hyou1
Kif2c,Kif2c
Gosr1,Gosr1
Sec22b,Sec22b
Slc3a2,Slc3a2
Lamp2,Lamp2
Soat1,Soat1
Akr1b8,Akr1b8
Slc9a1,Slc9a1
Htr1b,Htr1b
Slc35a1,Slc35a1
Fxr1,Fxr1
Rad51,Rad51
Ugp2,Ugp2
Sptlc1,Sptlc1
Serpinh1,Serpinh1
Tlr4,Tlr4
Folr1,Folr1
Rad52,Rad52
Orc2,Orc2
Ext1,Ext1
Pcna,Pcna
Mmp14,Mmp14
Ddr2,Ddr2
Dbf4,Dbf4
Cdc7,Cdc7
Ly96,Ly96
Pdia3,Pdia3
Canx,Canx
B4galt3,B4galt3
B4galt5,B4galt5
Gfus,Gfus
Prdx2,Prdx2
Hdac5,Hdac5
Slc1a4,Slc1a4
Mad1l1,Mad1l1
C1d,C1d
Prelid3b,Prelid3b
Gjc1,Gjc1
Cbx1,Cbx1
Slc25a32,Slc25a32
Cdc45,Cdc45
Tubb6,Tubb6
Cyren,Cyren
Dph2,Dph2
Ercc3,Ercc3
Bak1,Bak1
Casp8,Casp8
Casp9,Casp9
Bcl2l1,Bcl2l1
Rbm3,Rbm3
Neu1,Neu1
Xiap,Xiap
Pls3,Pls3
Rpl13,Rpl13
Ercc1,Ercc1
Pex13,Pex13
Pigu,Pigu
Dnaja1,Dnaja1
Slc35c1,Slc35c1
Lhb,Lhb
Pgap2,Pgap2
Atf4,Atf4
Ilk,Ilk
St6gal1,St6gal1
Rnaseh1,Rnaseh1
Cmah,Cmah
Ctsz,Ctsz
Gmnn,Gmnn
Slc35a3,Slc35a3
Tfrc,Tfrc
Slc10a2,Slc10a2
Hsp90aa1,Hsp90aa1
Impdh2,Impdh2
Ldlr,Ldlr
Cdkn1b,Cdkn1b
Sdhc,Sdhc
Pld1,Pld1
Hspa9,Hspa9
Slc19a1,Slc19a1
B2m,B2m
Tsn,Tsn
Cope,Cope
Stip1,Stip1
Xrcc1,Xrcc1
Sptlc2,Sptlc2
Layn,Layn
Mbtps1,Mbtps1
Fos,Fos
B3gat3,B3gat3
Dpm1,Dpm1
Gbf1,Gbf1
Plaur,Plaur
Hbegf,Hbegf
Npc1,Npc1
Orc1,Orc1
Sat1,Sat1
Icam1,Icam1
B4galt1,B4galt1
Ugcg,Ugcg
P4hb,P4hb
B4galt2,B4galt2
B4galt4,B4galt4
Gmds,Gmds
Dld,Dld
B4galt6,B4galt6
St3gal4,St3gal4
Tex101,Tex101
Gnb1,Gnb1
Casp2,Casp2
Gart,Gart
Ankrd1,Ankrd1
Pgs1,Pgs1
Gne,Gne
Dpm3,Dpm3
Cga,Cga
Fshb,Fshb
Pgap3,Pgap3
Fis1,Fis1
Edem1,Edem1
Mppe1,Mppe1
Rnps1,Rnps1
Cenpa,Cenpa
Cdt1,Cdt1
Antxr2,Antxr2
Hsph1,Hsph1
Parp1,Parp1
Slc1a3,Slc1a3
Taf7,Taf7
Gpi,Gpi1
Htr2a,Htr2a
Hspd1,Hspd1
Rcan1,Rcan1
Elk3,Elk3
Tcp1,Tcp1
Mt1,Mt1
Mt2,Mt2
Adk,Adk
Scarb1,Scarb1
Efemp2,Efemp2
Pea15,Pea15a
Smu1,Smu1
Pex7,Pex7
Bmpr1a,Bmpr1a
Meltf,Meltf
Cd300lb,Cd300lb
LOC100750340,Ugt2b1
Lamtor1,Lamtor1
Tvp23a,Tvp23a
Dmc1,Dmc1
Ntn1,Ntn1
Pdhx,Pdhx
Hilpda,Hilpda
Rps6ka4,Rps6ka4
Gpat2,Gpat2
Gstm3,Gstm5
Xpo6,Xpo6
Amer3,Amer3
Tctn1,Tctn1
LOC100750363,Bmyc
LOC100750364,Slc7a13
LOC100750367,Coa8
Smarca1,Smarca1
Dis3,Dis3
Sh3kbp1,Sh3kbp1
Hoxb4,Hoxb4
LOC100750377,Or10z1
Socs4,Socs4
Pdzd8,Pdzd8
LOC100750381,Aim2
Axin2,Axin2
Slc15a5,Slc15a5
Lrrc40,Lrrc40
Slc25a23,Slc25a23
Itga1,Itga1
Pno1,Pno1
Madcam1,Madcam1
Pxk,Pxk
Etv3,Etv3
Chchd3,Chchd3
Cpne5,Cpne5
Nhs,Nhs
LOC100750407,Trim32
Ppt1,Ppt1
Myoc,Myoc
Mrgprg,Mrgprg
LOC100750411,Steap4
Chd8,Chd8
Cuedc2,Cuedc2
Mbd5,Mbd5
N4bp1,N4bp1
Actr3b,Actr3b
Chrdl1,Chrdl1
Pde2a,Pde2a
Il17a,Il17a
LOC100750423,Gm6377
Psmd2,Psmd2
Btrc,Btrc
Dtl,Dtl
Sypl2,Sypl2
Atp4b,Atp4b
Rnf40,Rnf40
LOC100750437,Slc2a13
Akr1e2,Akr1e1
Sfxn3,Sfxn3
Slc38a8,Slc38a8
Selenof,Selenof
Pdcd6,Pdcd6
Tfb1m,Tfb1m
Tprn,Tprn
Jakmip3,Jakmip3
Itm2c,Itm2c
Tlr3,Tlr3
Cidec,Cidec
Gpbp1l1,Gpbp1l1
Serpinc1,Serpinc1
Zw10,Zw10
Bcl10,Bcl10
Il18,Il18
Tmtc2,Tmtc2
Klhl11,Klhl11
Hemk1,Hemk1
Gpr19,Gpr19
Myt1l,Myt1l
Tekt4,Tekt4
Pgam5,Pgam5
C2H2orf69,1700066M21Rik
Dennd11,Dennd11
Ikbkb,Ikbkb
Vangl1,Vangl1
Ppp1r17,Ppp1r17
Dnajb5,Dnajb5
Fmo5,Fmo5
Ccdc39,Ccdc39
Ubap1l,Ubap1l
Cdc42bpa,Cdc42bpa
Alx4,Alx4
Znf451,Zfp451
LOC100750508,Cyp2d22
Cbx7,Cbx7
Plaat1,Plaat1
LOC100750516,Or8b54
Enpp1,Enpp1
Mcidas,Mcidas
Dclre1a,Dclre1a
Capza1,Capza1
Ms4a10,Ms4a10
Trh,Trh
Jag1,Jag1
LOC100750526,Pnkd
LOC100750529,Or5b95
Gclm,Gclm
Vwf,Vwf
Xpo7,Xpo7
LOC100750533,Grap
Prpf18,Prpf18
Bin2,Bin2
LOC100750542,Slc45a1
Rad21,Rad21
Got1l1,Got1l1
Hexa,Hexa
LOC100750553,Or9s14
Acbd6,Acbd6
Nr3c2,Nr3c2
Phlpp1,Phlpp1
Defb129,Defb23
Apc,Apc
Tspyl4,Tspyl4
Dus2,Dus2
Ptgr2,Ptgr2
Kmt2b,Kmt2b
Xylb,Xylb
Rcbtb2,Rcbtb2
Invs,Invs
Ankrd49,Ankrd49
Mrto4,Mrto4
Snx18,Snx18
Bard1,Bard1
LOC100750593,Scd1
Stk35,Stk35
LOC100750599,Prss30
